W,67,64,23,55,.418,8,23,.348,13,15,.867,4,31,14,4,2,9,18,23,56,.411,4,24,.167,14,19,.737,9,35,11,3,4,10,19
L,55,71,17,55,.309,3,22,.136,18,22,.818,6,32,5,8,2,13,15,30,58,.517,8,24,.333,3,8,.375,5,40,17,5,4,12,23
L,69,73,25,53,.472,15,35,.429,4,7,.571,5,19,21,7,3,10,13,27,48,.563,10,19,.526,9,13,.692,8,32,13,7,0,15,8
L,56,62,17,49,.347,8,30,.267,14,22,.636,8,26,15,4,4,5,16,22,61,.361,7,19,.368,11,17,.647,14,39,11,2,3,6,17
W,69,60,21,54,.389,8,23,.348,19,27,.704,8,27,14,3,5,6,11,21,53,.396,8,19,.421,10,14,.714,10,32,13,3,3,13,20
W,50,49,16,53,.302,5,20,.250,13,16,.813,5,29,11,4,3,9,13,19,51,.373,8,24,.333,3,8,.375,9,39,14,6,8,13,16
L,56,74,22,54,.407,4,14,.286,8,15,.533,3,24,8,5,4,16,22,26,56,.464,3,13,.231,19,31,.613,12,38,10,8,8,9,17
L (1 OT),84,88,29,59,.492,12,27,.444,14,18,.778,4,20,17,6,1,10,25,26,55,.473,9,26,.346,27,30,.900,9,34,11,2,2,12,20
L,59,92,16,42,.381,8,19,.421,19,23,.826,5,16,9,8,1,18,13,34,54,.630,12,20,.600,12,12,1.000,9,29,23,11,5,15,19
W,90,68,33,50,.660,8,14,.571,16,26,.615,7,33,20,12,0,15,12,25,54,.463,14,36,.389,4,6,.667,2,15,16,9,1,16,22
W,76,75,26,53,.491,7,19,.368,17,28,.607,8,34,20,7,5,22,15,30,64,.469,10,26,.385,5,8,.625,6,30,16,12,2,23,27
W,80,64,30,56,.536,9,23,.391,11,12,.917,6,30,24,5,4,12,16,21,55,.382,9,24,.375,13,18,.722,10,27,11,8,4,11,15
L,60,65,19,49,.388,8,21,.381,14,21,.667,6,25,15,6,3,9,18,22,52,.423,3,14,.214,18,27,.667,12,37,13,3,7,9,21
W,65,63,20,46,.435,6,19,.316,19,29,.655,3,30,17,6,6,10,13,22,60,.367,12,31,.387,7,8,.875,8,28,16,4,3,11,20
L,71,98,24,58,.414,7,24,.292,16,27,.593,9,28,13,8,1,17,22,31,53,.585,16,25,.640,20,28,.714,5,32,22,10,2,15,25
L,52,65,18,56,.321,5,27,.185,11,12,.917,6,30,11,8,3,14,12,22,48,.458,10,25,.400,11,14,.786,0,30,17,8,2,14,13
L,66,87,21,55,.382,7,20,.350,17,22,.773,4,22,18,6,2,6,11,33,59,.559,11,23,.478,10,12,.833,8,37,19,3,2,10,19
W,69,65,21,58,.362,3,17,.176,24,29,.828,10,33,12,6,3,7,19,21,52,.404,6,21,.286,17,22,.773,8,35,8,2,1,16,23
L,61,76,20,46,.435,10,21,.476,11,15,.733,6,23,11,4,4,15,20,25,46,.543,7,15,.467,19,23,.826,6,24,17,10,1,9,16
L,54,71,23,60,.383,4,23,.174,4,8,.500,7,25,10,7,0,11,16,30,52,.577,2,9,.222,9,14,.643,7,31,15,6,1,14,14
W (1 OT),87,80,27,55,.491,6,19,.316,27,35,.771,6,23,14,7,4,11,27,26,50,.520,4,14,.286,24,34,.706,8,29,14,6,2,16,28
L,45,58,18,50,.360,2,14,.143,7,15,.467,9,28,8,7,0,10,16,19,45,.422,5,18,.278,15,18,.833,4,28,15,6,2,10,15
L,52,77,17,53,.321,4,18,.222,14,21,.667,11,27,10,4,4,12,13,28,55,.509,8,20,.400,13,16,.813,8,33,17,8,2,9,17
W,67,53,24,57,.421,8,25,.320,11,16,.688,12,34,16,9,2,11,14,19,43,.442,10,23,.435,5,11,.455,1,20,11,3,1,16,16
L,59,64,22,63,.349,12,29,.414,3,9,.333,7,31,16,4,2,7,24,18,49,.367,4,15,.267,24,31,.774,6,37,12,4,5,9,14
L,68,72,25,59,.424,6,20,.300,12,15,.800,5,27,12,10,4,7,16,28,57,.491,5,18,.278,11,15,.733,10,35,14,5,5,13,13
L (1 OT),70,71,20,53,.377,4,14,.286,26,41,.634,9,30,12,7,0,11,25,20,44,.455,6,17,.353,25,34,.735,4,28,13,5,3,15,30
L,63,78,22,53,.415,4,17,.235,15,22,.682,3,21,12,6,1,7,18,26,54,.481,9,22,.409,17,24,.708,8,37,15,2,2,11,20
L,68,83,26,58,.448,9,30,.300,7,12,.583,3,20,9,2,3,6,17,32,55,.582,7,18,.389,12,15,.800,7,34,15,4,1,10,16
W,72,67,25,51,.490,9,21,.429,13,17,.765,9,27,14,10,2,11,18,22,44,.500,13,27,.481,10,18,.556,4,22,18,5,3,15,18
W (2 OT),77,72,27,68,.397,7,19,.368,16,24,.667,12,36,17,10,2,9,19,22,65,.338,10,39,.256,18,26,.692,19,47,16,5,6,17,24
W,60,38,22,56,.393,9,25,.360,7,11,.636,5,29,16,8,1,7,14,12,53,.226,6,30,.200,8,12,.667,13,42,8,3,4,18,17
