L,70,73,22,48,.458,8,19,.421,18,23,.783,4,30,11,3,2,11,18,28,61,.459,8,20,.400,9,15,.600,11,34,13,4,0,11,20
L,68,85,20,40,.500,5,15,.333,23,32,.719,6,26,8,5,5,21,23,31,61,.508,9,22,.409,14,20,.700,10,26,13,7,1,12,22
W,90,47,33,58,.569,13,23,.565,11,19,.579,9,40,14,7,4,15,13,18,56,.321,6,17,.353,5,9,.556,2,23,8,5,3,10,17
W,63,60,18,44,.409,3,16,.188,24,31,.774,7,31,8,4,2,9,17,21,61,.344,11,40,.275,7,11,.636,13,35,14,3,0,10,23
W,74,58,26,58,.448,14,30,.467,8,15,.533,11,36,12,4,4,8,12,23,57,.404,9,20,.450,3,3,1.000,5,29,11,3,0,10,17
W,75,59,26,46,.565,9,17,.529,14,23,.609,3,30,16,2,3,8,13,25,63,.397,4,16,.250,5,6,.833,9,28,8,2,0,9,19
W,95,57,37,68,.544,7,17,.412,14,18,.778,14,43,20,7,3,4,14,20,56,.357,6,13,.462,11,15,.733,10,29,6,4,6,12,15
L,68,73,27,53,.509,8,21,.381,6,11,.545,8,28,15,2,0,17,15,30,52,.577,6,14,.429,7,13,.538,5,25,15,9,0,14,17
L (2 OT),81,84,25,75,.333,5,25,.200,26,37,.703,13,54,13,8,4,19,27,27,73,.370,8,30,.267,22,30,.733,7,40,11,7,7,12,32
L,68,69,26,51,.510,5,20,.250,11,14,.786,11,34,14,7,3,16,17,25,46,.543,13,27,.481,6,9,.667,0,15,22,7,0,11,18
W (1 OT),92,82,30,61,.492,11,29,.379,21,34,.618,10,44,19,8,6,16,16,30,78,.385,7,20,.350,15,23,.652,14,42,11,6,5,12,27
W,99,95,30,51,.588,12,24,.500,27,36,.750,6,38,15,3,6,16,22,37,83,.446,10,20,.500,11,17,.647,15,34,12,6,1,8,28
W,114,47,43,68,.632,19,36,.528,9,11,.818,5,43,31,8,7,7,9,21,72,.292,3,21,.143,2,5,.400,11,31,3,2,1,13,11
W,77,56,26,58,.448,5,21,.238,20,29,.690,7,38,15,4,1,11,22,19,59,.322,1,12,.083,17,21,.810,11,39,5,5,2,13,21
W,74,62,25,60,.417,7,26,.269,17,25,.680,13,44,14,5,7,13,21,22,56,.393,2,6,.333,16,22,.727,6,32,7,4,2,11,24
W,85,68,28,56,.500,6,19,.316,23,34,.676,11,39,13,6,4,9,25,23,51,.451,4,13,.308,18,34,.529,9,34,9,3,1,11,28
W,73,58,30,64,.469,7,17,.412,6,12,.500,14,44,15,3,1,12,15,25,60,.417,4,14,.286,4,8,.500,5,28,17,7,3,9,14
W,85,74,28,49,.571,11,22,.500,18,31,.581,6,30,18,5,1,16,17,27,56,.482,2,10,.200,18,22,.818,7,27,10,10,1,14,21
L,68,69,24,58,.414,11,34,.324,9,10,.900,11,35,14,2,3,17,17,26,49,.531,7,12,.583,10,19,.526,2,24,13,9,2,12,12
W,76,66,27,55,.491,4,23,.174,18,26,.692,10,40,8,8,3,12,10,27,61,.443,6,18,.333,6,8,.750,6,31,10,8,1,10,21
W,77,50,25,54,.463,9,19,.474,18,26,.692,12,46,13,4,5,9,17,19,61,.311,3,9,.333,9,15,.600,10,30,5,3,0,9,22
W,64,54,23,53,.434,9,24,.375,9,12,.750,9,36,13,6,6,17,18,21,53,.396,3,10,.300,9,15,.600,7,28,6,9,1,14,19
L,71,78,25,50,.500,11,27,.407,10,17,.588,6,30,11,2,3,13,20,26,57,.456,5,13,.385,21,24,.875,7,30,9,5,1,5,20
W,63,50,22,61,.361,3,19,.158,16,20,.800,10,48,11,3,6,9,17,18,56,.321,3,8,.375,11,21,.524,6,37,6,2,2,10,16
W,87,78,31,54,.574,9,22,.409,16,21,.762,7,34,13,4,2,14,17,31,65,.477,6,13,.462,10,14,.714,7,26,15,9,1,8,18
W,87,83,23,43,.535,7,13,.538,34,54,.630,9,25,10,5,3,11,22,28,57,.491,8,20,.400,19,26,.731,7,25,12,6,0,12,35
W,77,74,26,57,.456,13,29,.448,12,17,.706,5,32,11,4,0,13,18,26,61,.426,6,20,.300,16,21,.762,9,35,13,5,1,10,19
W,68,60,27,53,.509,4,20,.200,10,23,.435,4,35,14,3,5,9,12,24,65,.369,6,23,.261,6,9,.667,10,40,8,3,1,11,22
W,60,54,17,44,.386,6,22,.273,20,29,.690,4,34,5,8,5,13,14,22,61,.361,2,11,.182,8,12,.667,11,35,4,5,1,13,25
L,58,62,19,49,.388,7,22,.318,13,25,.520,4,26,9,9,1,13,20,17,58,.293,7,17,.412,21,28,.750,18,46,8,5,2,14,23
W,79,77,20,37,.541,7,14,.500,32,43,.744,6,32,12,4,3,18,22,27,57,.474,10,20,.500,13,23,.565,7,23,8,9,3,9,31
