W,72,63,27,64,.422,7,25,.280,11,18,.611,21,42,10,4,3,13,13,24,52,.462,11,22,.500,4,10,.400,6,25,10,6,2,11,20
L,72,82,24,59,.407,11,22,.500,13,17,.765,5,27,9,6,3,14,26,29,67,.433,8,27,.296,16,22,.727,14,43,10,5,4,15,19
W,73,66,21,53,.396,8,25,.320,23,34,.676,9,30,16,6,5,11,20,22,58,.379,6,22,.273,16,20,.800,9,32,17,4,3,16,27
L,74,77,27,60,.450,14,34,.412,6,6,1.000,6,30,14,4,4,9,18,28,59,.475,15,33,.455,6,10,.600,5,29,20,1,1,6,9
W,69,68,24,58,.414,11,30,.367,10,16,.625,11,31,15,7,6,11,13,26,52,.500,9,17,.529,7,11,.636,6,26,9,9,3,10,16
L,62,74,24,61,.393,7,19,.368,7,11,.636,10,34,10,1,1,9,25,22,52,.423,7,27,.259,23,31,.742,10,35,10,6,3,7,16
W,63,50,27,59,.458,6,18,.333,3,4,.750,10,34,11,4,4,12,12,17,54,.315,7,23,.304,9,11,.818,11,31,8,7,5,15,11
L,68,95,24,55,.436,3,20,.150,17,20,.850,9,23,10,5,4,13,21,31,50,.620,8,15,.533,25,31,.806,7,28,12,6,4,7,17
W,76,49,30,63,.476,11,29,.379,5,12,.417,22,47,25,8,4,17,8,20,54,.370,7,20,.350,2,4,.500,8,19,9,10,8,12,9
L,62,77,22,59,.373,7,25,.280,11,19,.579,6,29,12,4,3,9,26,26,60,.433,5,20,.250,20,28,.714,9,41,21,3,8,9,16
L,41,52,15,60,.250,2,18,.111,9,10,.900,12,34,5,13,3,7,13,21,51,.412,6,19,.316,4,8,.500,10,37,13,3,6,18,15
W,66,60,25,54,.463,6,17,.353,10,14,.714,9,28,11,3,0,14,14,25,56,.446,3,21,.143,7,9,.778,9,28,15,8,2,13,18
W (1 OT),72,62,24,54,.444,6,18,.333,18,25,.720,9,35,9,4,6,16,22,18,54,.333,3,15,.200,23,30,.767,7,27,7,9,3,15,23
W,78,62,30,58,.517,12,24,.500,6,12,.500,11,40,14,3,0,12,15,23,58,.397,8,27,.296,8,14,.571,5,20,13,6,1,5,12
W,85,79,29,64,.453,12,30,.400,15,18,.833,14,45,15,4,2,10,16,29,65,.446,13,27,.481,8,11,.727,4,27,19,5,2,7,21
W,90,70,31,53,.585,9,20,.450,19,24,.792,6,29,19,8,5,12,17,25,58,.431,6,20,.300,14,16,.875,6,20,9,4,2,12,23
W,64,61,19,42,.452,9,22,.409,17,20,.850,4,19,10,6,5,14,13,24,56,.429,4,18,.222,9,12,.750,10,27,10,9,3,14,18
L,54,59,19,54,.352,6,22,.273,10,19,.526,9,30,12,9,1,17,14,21,55,.382,6,18,.333,11,15,.733,13,36,6,6,2,20,21
W (1 OT),59,57,21,51,.412,7,22,.318,10,17,.588,3,29,9,6,3,9,18,19,53,.358,7,14,.500,12,15,.800,4,31,9,4,2,11,18
W,70,63,23,55,.418,6,21,.286,18,22,.818,13,36,12,6,2,12,15,23,48,.479,6,17,.353,11,17,.647,5,21,9,7,6,16,23
L,56,59,19,53,.358,5,23,.217,13,17,.765,8,29,15,7,3,12,20,19,49,.388,8,22,.364,13,20,.650,9,34,8,7,4,11,15
W (1 OT),78,76,29,60,.483,8,22,.364,12,15,.800,14,29,14,4,1,8,19,27,56,.482,4,13,.308,18,24,.750,13,27,6,5,2,9,15
L (1 OT),81,84,25,61,.410,9,21,.429,22,25,.880,13,30,16,13,2,12,20,25,53,.472,9,20,.450,25,30,.833,13,34,13,4,7,18,21
W,70,66,24,47,.511,6,17,.353,16,22,.727,5,21,13,8,0,14,22,20,43,.465,5,17,.294,21,23,.913,5,22,7,7,0,18,18
L,57,75,22,55,.400,8,23,.348,5,9,.556,11,25,8,16,4,19,15,26,46,.565,9,18,.500,14,17,.824,6,28,15,13,5,20,11
L,60,61,21,57,.368,8,24,.333,10,13,.769,13,35,12,4,5,8,11,24,55,.436,6,16,.375,7,12,.583,8,27,11,3,5,9,14
L,64,66,24,59,.407,7,19,.368,9,10,.900,18,33,13,4,2,12,17,22,46,.478,9,23,.391,13,15,.867,6,22,17,4,3,12,12
W,72,53,26,53,.491,6,21,.286,14,18,.778,10,35,11,7,4,14,15,17,46,.370,5,20,.250,14,18,.778,3,21,8,7,4,17,15
W (1 OT),74,68,27,51,.529,13,26,.500,7,17,.412,10,32,16,2,3,10,13,25,57,.439,10,22,.455,8,10,.800,7,24,11,1,0,6,15
W,63,50,23,45,.511,6,17,.353,11,14,.786,5,29,13,9,4,12,14,17,43,.395,7,18,.389,9,11,.818,2,18,9,5,1,13,14
W,70,47,25,60,.417,10,25,.400,10,14,.714,9,39,15,4,3,8,17,16,52,.308,2,18,.111,13,17,.765,6,28,7,4,6,9,14
W,59,53,17,48,.354,6,16,.375,19,27,.704,9,30,6,7,2,7,10,21,48,.438,6,18,.333,5,5,1.000,6,33,7,5,0,14,17
W,61,52,17,50,.340,6,21,.286,21,26,.808,8,27,8,10,1,5,11,19,48,.396,9,26,.346,5,8,.625,10,34,12,2,4,14,17
W,55,52,17,47,.362,5,16,.313,16,20,.800,7,25,7,8,2,6,13,18,41,.439,6,19,.316,10,10,1.000,4,26,13,3,4,14,15
